,area,price_sqm,asking_price,nbr_rooms,living_space,rent,additional,year_built,closing_price,bi_area,price_inc_percent,time
6404,sodermalm,104000.0,2450000.0,1.0,25.0,1647.0,6000.0,1912.0,2600000,0.0,0.061224489795918366,0.8805794831636649
6405,sodermalm,108103.0,2550000.0,2.0,29.0,1867.0,5800.0,1912.0,3135000,0.0,0.22941176470588234,0.8805794831636649
6406,gardet,111538.0,2325000.0,1.0,26.0,1728.0,0.0,1938.0,2900000,0.0,0.24731182795698925,0.8805794831636649
6407,vasastan,117308.0,2595000.0,1.0,26.0,1181.0,0.0,1925.0,3050000,0.0,0.17533718689788053,0.8805794831636649
6408,lilla_essingen,64063.0,3995000.0,2.5,64.0,2916.0,5400.0,1939.0,4100000,0.0,0.026282853566958697,0.8805794831636649
6409,sodermalm,79250.0,7595000.0,3.0,100.0,3930.0,7641.0,1924.0,7925000,0.0,0.043449637919683995,0.8805794831636649
6410,sodermalm,82456.0,4800000.0,2.0,57.0,4343.0,5400.0,1882.0,4700000,0.0,-0.02083333333333333,0.8805794831636649
6411,sodermalm,96296.0,2250000.0,1.0,27.0,0.0,5400.0,1928.0,2600000,0.0,0.15555555555555556,0.8805794831636649
6412,sodermalm,76645.0,5795000.0,3.0,76.0,4305.0,0.0,1930.0,5825000,0.0,0.005176876617773943,0.8805794831636649
6413,sodermalm,80000.0,3695000.0,2.0,50.0,2285.0,5400.0,1917.0,4000000,0.0,0.08254397834912043,0.8805794831636649
6414,sodermalm,75333.0,4195000.0,2.0,60.0,2847.0,4200.0,1983.0,4520000,0.0,0.07747318235995232,0.8805794831636649
6415,vasastan,72321.0,7995000.0,3.5,112.0,4721.0,6500.0,1926.0,8100000,0.0,0.013133208255159477,0.8805794831636649
6416,vasastan,101786.0,2650000.0,1.0,28.0,819.0,0.0,1929.0,2850000,0.0,0.07547169811320754,0.8805794831636649
6417,vasastan,87195.0,2995000.0,1.0,41.0,1885.0,0.0,1928.0,3575000,0.0,0.19365609348914856,0.8805794831636649
6418,vasastan,97826.0,4195000.0,2.0,46.0,1896.0,0.0,1890.0,4500000,0.0,0.07270560190703218,0.8805794831636649
6419,vasastan,95682.0,7650000.0,3.0,88.0,4280.0,0.0,1910.0,8420000,0.0,0.10065359477124183,0.8805794831636649
6420,vasastan,89655.0,5150000.0,2.0,58.0,2665.0,0.0,1906.0,5200000,0.0,0.009708737864077669,0.8805794831636649
6421,vasastan,83784.0,3300000.0,1.0,37.0,1683.0,0.0,1926.0,3100000,0.0,-0.060606060606060615,0.880187940485513
6422,vasastan,80366.0,3295000.0,2.0,41.0,2252.0,4500.0,1939.0,3295000,0.0,0.0,0.880187940485513
6423,sodermalm,93333.0,3650000.0,2.0,45.0,2151.0,8759.0,1880.0,4200000,0.0,0.1506849315068493,0.880187940485513
6424,vasastan,100897.0,2195000.0,1.0,22.3,1318.0,0.0,1907.0,2250000,0.0,0.025056947608200455,0.880187940485513
6425,kungsholmen,92063.0,2500000.0,1.0,31.5,1839.0,0.0,1932.0,2900000,0.0,0.16,0.880187940485513
6426,kungsholmen,71274.0,5395000.0,3.0,78.5,4525.0,6492.0,2015.0,5595000,0.0,0.03707136237256719,0.880187940485513
6427,vasastan,95400.0,4250000.0,2.0,50.0,1189.0,3600.0,1902.0,4770000,0.0,0.1223529411764706,0.880187940485513
6428,gardet,85000.0,6275000.0,3.0,75.0,3534.0,0.0,1935.0,6375000,0.0,0.01593625498007968,0.880187940485513
6429,kungsholmen,83854.0,6950000.0,4.0,96.0,5900.0,2040.0,1970.0,8050000,0.0,0.15827338129496402,0.880187940485513
6430,lilla_essingen,72472.0,3195000.0,2.0,44.5,3093.0,4200.0,2004.0,3225000,0.0,0.009389671361502348,0.880187940485513
6431,kungsholmen,83333.0,3500000.0,2.0,42.0,2173.0,3480.0,1931.0,3500000,0.0,0.0,0.880187940485513
6432,kungsholmen,104516.0,2695000.0,1.0,31.0,1568.0,5400.0,1929.0,3240000,0.0,0.20222634508348794,0.880187940485513
6433,vasastan,92143.0,3600000.0,1.5,42.0,2325.0,0.0,1928.0,3870000,0.0,0.075,0.880187940485513
6434,ostermalm,102174.0,4195000.0,2.0,46.0,1418.0,0.0,1898.0,4700000,0.0,0.12038140643623363,0.879796397807361
6435,ostermalm,65385.0,4995000.0,3.0,78.0,3772.0,9600.0,1934.0,5100000,0.0,0.021021021021021026,0.879796397807361
6436,ostermalm,107895.0,3475000.0,1.5,38.0,1821.0,0.0,1936.0,4100000,0.0,0.17985611510791366,0.879796397807361
6437,vasastan,109444.0,4395000.0,2.0,45.0,1378.0,5400.0,1899.0,4925000,0.0,0.12059158134243457,0.879796397807361
6438,kungsholmen,94792.0,8950000.0,4.0,96.0,2508.0,0.0,1921.0,9100000,10.0,0.01675977653631285,0.879796397807361
6439,sodermalm,80444.0,3250000.0,1.5,45.0,2550.0,7106.0,1929.0,3620000,0.0,0.11384615384615385,0.879796397807361
6440,sodermalm,61250.0,3950000.0,2.0,68.0,3126.0,6000.0,1990.0,4165000,0.0,0.054430379746835435,0.879796397807361
6441,kungsholmen,67516.0,5350000.0,3.0,78.5,4525.0,7500.0,2015.0,5300000,0.0,-0.009345794392523364,0.8794048551292091
6442,kungsholmen,76543.0,5950000.0,3.0,81.0,3021.0,4896.0,1969.0,6200000,0.0,0.04201680672268908,0.8794048551292091
6443,kungsholmen,100000.0,2650000.0,1.0,26.6,1772.0,2900.0,1906.0,2660000,0.0,0.0037735849056603774,0.8794048551292091
6444,sodermalm,65506.0,4695000.0,2.0,79.0,2451.0,5888.0,1932.0,5175000,0.0,0.1022364217252396,0.8794048551292091
6445,stora_essingen,81098.0,5975000.0,4.0,82.0,4786.0,8400.0,1929.0,6650000,0.0,0.11297071129707112,0.8794048551292091
6446,gamla_stan,93750.0,4795000.0,2.0,52.0,2940.0,9700.0,1630.0,4875000,10.0,0.016684045881126174,0.8794048551292091
6447,vasastan,94545.0,4475000.0,2.0,55.0,1654.0,0.0,1909.0,5200000,0.0,0.16201117318435754,0.8794048551292091
6448,gardet,59091.0,4150000.0,2.0,66.0,3264.0,5100.0,1963.0,3900000,0.0,-0.060240963855421686,0.8790133124510572
6449,kungsholmen,113924.0,9975000.0,4.0,79.0,4158.0,16400.0,1929.0,9000000,0.0,-0.09774436090225563,0.8790133124510572
